geo	time	van	vab	msa	msam	msanc	msah	ip	champ	tis	t2is	is	is2	psal	psalh	psalnc	psalm	psalb	psalhb	psalncb	tp	tpb	tpm	tpbm	tph	tpbh	tooltip
BE	1995-01-01	127421.35531049583	159351.1	97872.00925487526	94083.95889145772	78801	94257.20962199313	2078.9032927334065	md	0.17235576010424986	0.03196087130870135	5093	5093	0.7680973806657779	0.7397285124797999	0.6184285185790132	0.7383688445488378	0.6141909861612205	0.5915064886404494	0.49451180443686926	0.19193286710870572	0.23190261933422207	0.22166140322564587	0.2616311554511622	0.22030173529468378	0.26027148752020013	"<b>Belgique</b>
1995
Branches marchandes
Part des salaires dans la VAN : 74%"
BE	1995-01-01	116834.94064137584	146739.9	89659.43309070793	86047.14455669628	71473.3	86557.91941580757	1981.2847152319791	mdhfi	0.13950061440183942	0.025834827473645548	3791	3791	0.767402564665283	0.7408564504816807	0.6117459349715157	0.7364846858682239	0.6110092285105001	0.5898730980177005	0.4870747492672409	0.20014995019723184	0.23259743533471697	0.2310678289942909	0.26351531413177604	0.22669606438083412	0.25914354951831925	"<b>Belgique</b>
1995
Branches marchandes hors services financiers (-KOPQ)
Part des salaires dans la VAN : 74.1%"
BE	1995-01-01	118229.41613971935	141909.8	97390.40925487525	93623.49298841509	78425.8	93789.71924398626	559.9158910818412	mdhi	0.24439744312883083	0.03588899427664615	5093	5092.999999999999	0.8237409304278616	0.7932858192680988	0.6633357633037718	0.7918798556678496	0.6862838877574012	0.6609107985775913	0.5526454127903782	0.1331818036404411	0.17625906957213844	0.16504287840045304	0.20812014433215037	0.16363691480020381	0.20671418073190115	"<b>Belgique</b>
1995
Branches marchandes hors services immobiliers (-LOPQ)
Part des salaires dans la VAN : 79.3%"
BE	1995-01-01	107643.00147059938	129298.6	89177.83309070794	85586.67865365367	71098.1	86090.4290378007	462.2973135804137	mdhifi	0.20530546605404346	0.029319729679981067	3790.9999999999995	3791	0.8284591833410103	0.7997772996074868	0.6604990480446523	0.7950974748416879	0.6897045528003237	0.6658264593568739	0.549875250002707	0.13632254934752458	0.17154081665898968	0.169684257846847	0.2049025251583121	0.16500443308104815	0.20022270039251325	"<b>Belgique</b>
1995
Branches marchandes hors services immobilier et financiers (-KLOPQ)
Part des salaires dans la VAN : 80%"
BE	1995-01-01	122276.58721036966	149275.5	97872.00925487526	94083.95889145772	78801	94257.20962199313	1036.1158910818413	mdhim	0.20869035347744547	0.03411812387163332	5093	5093	0.8004149566792557	0.7708524728436291	0.6444488008520186	0.7694355970991553	0.6556468359166457	0.6314312102253425	0.5278897072861923	0.15793357008132694	0.19958504332074434	0.18891292966142728	0.23056440290084468	0.18749605391695348	0.22914752715637088	"<b>Belgique</b>
1995
Branches marchandes hors imm. des ménages (-LmOPQ)
Part des salaires dans la VAN : 77.1%"
BE	1995-01-01	107643.00147059938	129298.6	89177.83309070794	85586.67865365367	71098.1	86090.4290378007	462.2973135804137	mdhimfi	0.20530546605404346	0.029319729679981067	3790.9999999999995	3791	0.8284591833410103	0.7997772996074868	0.6604990480446523	0.7950974748416879	0.6897045528003237	0.6658264593568739	0.549875250002707	0.13632254934752458	0.17154081665898968	0.169684257846847	0.2049025251583121	0.16500443308104815	0.20022270039251325	"<b>Belgique</b>
1995
NA
Part des salaires dans la VAN : 80%"
BE	1995-01-01	162689.22834390862	198579.8	132632.21926935902	128428	111466	128428	1557.4075778831334	tb	0.16944467053817525	0.025647120200544066	5093	5093	0.8152489296278909	0.7894069036243516	0.6851467742189552	0.7894069036243516	0.6679038818115389	0.6467324471069061	0.5613159042359798	0.1534459861213319	0.18475107037210917	0.17928801212487114	0.2105930963756484	0.17928801212487114	0.2105930963756484	"<b>Belgique</b>
1995
Toutes branches (marchandes et non marchandes)
Part des salaires dans la VAN : 78.9%"
DE	1995-01-01	1218337.7373738708	1477148.5	913571.9440691108	994947.6461672169	818752	996793.1983565973	-16326.333718369147	md	0.12086002041300842	0.024935881531206915	36834	36834	0.7498511422935292	0.8181583544355991	0.6720238361530371	0.8166435427928452	0.6184699399343471	0.674809065139082	0.5542787336547409	0.21991586165777602	0.25014885770647083	0.15312346115845993	0.18335645720715474	0.15160864951570602	0.18184164556440083	"<b>Allemagne</b>
1995
Branches marchandes
Part des salaires dans la VAN : 81.8%"
DE	1995-01-01	1144700.8568271562	1396006.5	852089.0105026773	928606.9411414133	762929.4	934961.6431603897	-16626.10624772658	mdhfi	0.07833585785375781	0.016419694320907532	22922	22922	0.744377018170904	0.8167737776941003	0.6664880133964977	0.8112223692356579	0.6103761053424015	0.6697401789750905	0.5465084868874178	0.2355985362603783	0.2556229818290961	0.16875318519562427	0.18877763076434206	0.16320177673718195	0.18322622230589974	"<b>Allemagne</b>
1995
Branches marchandes hors services financiers (-KOPQ)
Part des salaires dans la VAN : 81.7%"
DE	1995-01-01	1095455.6451266748	1285269.7	903241.4687266451	983190.4988099996	810083.9	985224.2234342903	-17119.755701352668	mdhi	0.19162998635096673	0.028658576483986203	36834	36834	0.8245349528708643	0.8993739069374755	0.7394949340065016	0.8975173966959719	0.7027641503776563	0.7665505717860541	0.630283200483136	0.14184068254270765	0.17546504712913563	0.06885823871760013	0.10248260330402814	0.06700172847609644	0.10062609306252444	"<b>Allemagne</b>
1995
Branches marchandes hors services immobiliers (-LOPQ)
Part des salaires dans la VAN : 89.9%"
DE	1995-01-01	1021818.7645799599	1204127.7	841758.5351602115	916849.7937841956	754261.3	923392.6682380828	-17419.5282307101	mdhifi	0.1273018482419305	0.019036186942630755	22922.000000000004	22922	0.8237845734867024	0.903675583426639	0.7381556555286544	0.8972724181289486	0.6990608514032287	0.7668560969389566	0.6263964361919422	0.15378287702941468	0.17621542651329755	0.08029503238716847	0.10272758187105133	0.07389186708947812	0.09632441657336098	"<b>Allemagne</b>
1995
Branches marchandes hors services immobilier et financiers (-KLOPQ)
Part des salaires dans la VAN : 90.4%"
