time	geo	champ	rh	rbh
2023-01-01	ES	md	0.05285522470882847	0.06119321313132687
2023-01-01	ES	mdhfi	0.04591538900328409	0.05300615911719269
2023-01-01	ES	mdhi	0.061514318296712424	0.07748279448855755
2023-01-01	ES	mdhifi	0.048282711461272096	0.06202901952347019
2023-01-01	ES	mdhim	0.05922436251866175	0.07195432640410485
2023-01-01	ES	mdhimfi	0.038291475289409974	0.0491932328658559
2023-01-01	ES	tb	0.043327559546955156	0.05041262589690784
2023-01-01	NL	md	0.06694121481234017	0.08727632843680345
2023-01-01	NL	mdhfi	0.06376207505396705	0.08169736674596817
2023-01-01	NL	mdhi	0.14003306772785612	0.19135363813731063
2023-01-01	NL	mdhifi	0.13636646302292965	0.18337508693144514
2023-01-01	NL	mdhim	0.10609695092994836	0.14368805389139475
2023-01-01	NL	mdhimfi	0.09820802001856098	0.13206256002431166
2023-01-01	NL	tb	0.05314967352339161	0.06948114881288882
2023-01-01	BE	md	0.04748939026420202	0.061193723169687304
2023-01-01	BE	mdhfi	0.04652763759069025	0.057277298124548605
2023-01-01	BE	mdhi	0.07020457931708421	0.09916561101898178
2023-01-01	BE	mdhifi	0.06934050892596931	0.09270350501569181
2023-01-01	BE	mdhim	0.07124092949506707	0.0963907538657485
2023-01-01	BE	mdhimfi	0.05979071703151231	0.07993608818389746
2023-01-01	BE	tb	0.04484931749879177	0.057100466689130575
2022-01-01	DE	md	0.02629444394754874	0.0361967613624723
2022-01-01	DE	mdhfi	0.02535840587086944	0.03482336500518534
2022-01-01	DE	mdhi	0.059237478235678	0.08777539137615183
2022-01-01	DE	mdhifi	0.058257313506764864	0.08651588025351428
2022-01-01	DE	mdhim	0.04896857626637357	0.07026384796616757
2022-01-01	DE	mdhimfi	0.0428728819849653	0.06366900395267275
2022-01-01	DE	tb	0.022058822970681097	0.030580224258189324
2022-01-01	FR	md	0.023387104741692467	0.03369159076910803
2022-01-01	FR	mdhfi	0.026771547562915613	0.03509116333929427
2022-01-01	FR	mdhi	0.027091034043705668	0.06842674795521256
2022-01-01	FR	mdhifi	0.04167334718781175	0.07686043042599325
2022-01-01	FR	mdhim	0.020690895361250527	0.04357646639456862
2022-01-01	FR	mdhimfi	0.018708441467577525	0.0375800898729653
2022-01-01	FR	tb	0.021473868956215385	0.030455944752196748
2022-01-01	IT	md	0.054720437814932174	0.06346712376676741
2022-01-01	IT	mdhfi	0.05158368410188686	0.05863123310962257
2022-01-01	IT	mdhi	0.09249803105454746	0.11440559255682393
2022-01-01	IT	mdhifi	0.0860405035789979	0.10414105861807672
2022-01-01	IT	mdhim	0.08476421457881202	0.10255522001499638
2022-01-01	IT	mdhimfi	0.06932174327041503	0.0839051310619449
2022-01-01	IT	tb	0.049711864573284796	0.05736159705165005
2022-01-01	ES	md	0.04793534796080057	0.055253025733977945
2022-01-01	ES	mdhfi	0.04464370330820294	0.05083069088162926
2022-01-01	ES	mdhi	0.05432830045482868	0.0681712418860749
2022-01-01	ES	mdhifi	0.04819138972790339	0.060038884838817766
2022-01-01	ES	mdhim	0.05311987339868264	0.06427168789352981
2022-01-01	ES	mdhimfi	0.03862746408528476	0.04812373913527473
2022-01-01	ES	tb	0.03887732980420718	0.04508466218724584
2022-01-01	NL	md	0.07231913969340023	0.09126773796944444
2022-01-01	NL	mdhfi	0.06662889830348108	0.08324620191064853
2022-01-01	NL	mdhi	0.16510036831420957	0.2126435192424961
